customer_id,age_group,gender,region,customer_segment,preferred_channel,purchase_frequency,avg_order_value,total_spent,recency_days,website_visits,discount_usage_rate,email_open_rate,cart_abandonment_rate,loyalty_score,engagement_score,churn_risk,churn_flag
C000021,35-44,Other,South,VIP,In-Store,1,360.94,420.55,9,3,0.58,0.77,0.74,63,51.5,Low,0
C000022,45-54,Female,South,Returning,Online,1,81.42,94.81,340,5,0.33,0.85,0.83,27,51.0,High,1
C000023,55+,Female,Central,VIP,Mobile App,2,228.52,499.16,208,15,0.18,0.07,0.45,57,31.0,Medium,1
C000024,45-54,Male,East,Returning,Mobile App,20,269.89,5661.8,22,69,0.78,0.38,0.76,36,31.0,Low,0
C000025,45-54,Male,North,New,Online,5,153.03,823.14,317,24,0.48,0.7,0.08,53,81.0,High,1
C000026,25-34,Other,West,New,In-Store,1,372.76,372.71,181,5,0.79,0.11,0.29,41,41.0,Medium,0
C000027,45-54,Female,Central,Loyal,Mobile App,20,140.43,2553.92,281,87,0.68,0.84,0.11,41,86.5,Medium,1
C000028,18-24,Other,North,Loyal,Mobile App,2,132.21,254.61,104,12,0.58,0.36,0.28,35,54.0,Low,0
C000029,35-44,Female,North,VIP,Online,20,349.49,8175.51,313,115,0.2,0.11,0.37,23,37.0,High,1
C000030,45-54,Other,North,Loyal,Mobile App,5,55.71,293.15,342,19,0.17,0.88,0.72,67,58.0,High,1
C000031,25-34,Male,Central,Loyal,Mobile App,1,34.19,38.91,54,5,0.29,0.75,0.27,14,74.0,Low,0
C000032,55+,Male,Central,Returning,In-Store,2,176.31,386.06,308,5,0.78,0.66,0.08,72,79.0,Medium,1
C000033,25-34,Other,Central,New,Mobile App,5,302.74,1419.55,117,12,0.37,0.64,0.1,10,77.0,Low,0
C000034,35-44,Male,West,New,In-Store,1,89.49,105.34,272,5,0.54,0.42,0.63,76,39.5,High,1
C000035,35-44,Male,South,Returning,Mobile App,2,155.27,346.33,185,8,0.12,0.13,0.3,71,41.5,Low,0
C000036,18-24,Other,North,VIP,Online,1,206.81,210.06,289,4,0.54,0.09,0.81,43,14.0,High,1
C000037,55+,Male,South,VIP,Mobile App,2,25.82,60.76,96,14,0.54,0.19,0.11,11,54.0,Low,0
C000038,25-34,Other,East,VIP,Online,35,238.68,8235.67,33,166,0.46,0.85,0.36,42,74.5,Low,0
C000039,55+,Other,South,Loyal,In-Store,12,98.54,1118.49,12,31,0.06,0.13,0.6,90,26.5,Low,0
C000040,35-44,Other,West,VIP,Online,12,149.44,1687.91,196,73,0.31,0.85,0.08,98,88.5,Low,0
C000041,25-34,Male,South,Loyal,Online,20,127.17,2319.84,192,109,0.6,0.16,0.25,33,45.5,Medium,0
C000042,55+,Male,Central,Returning,Online,2,278.34,617.34,355,5,0.73,0.48,0.71,95,38.5,High,1
C000043,18-24,Male,North,New,Online,3,57.99,151.13,233,21,0.32,0.86,0.59,61,63.5,High,1
C000044,35-44,Other,North,Returning,In-Store,5,131.42,634.12,53,33,0.64,0.13,0.45,48,34.0,Low,0
C000045,45-54,Other,South,Returning,Mobile App,60,41.23,2740.88,221,246,0.14,0.17,0.66,26,25.5,High,1
C000046,55+,Female,Central,Returning,In-Store,20,288.37,5066.5,165,67,0.49,0.78,0.75,26,51.5,High,1
C000047,45-54,Male,South,New,Mobile App,35,394.68,15384.19,70,218,0.41,0.37,0.61,83,38.0,Low,0
C000048,45-54,Female,East,VIP,In-Store,5,41.4,184.56,317,34,0.61,0.63,0.24,72,69.5,High,1
C000049,18-24,Male,North,VIP,Mobile App,5,51.5,266.49,117,38,0.06,0.87,0.08,30,89.5,Low,0
C000050,35-44,Male,North,Returning,Online,12,48.67,530.41,305,74,0.39,0.58,0.52,25,53.0,High,1
C000051,55+,Male,West,VIP,Online,12,367.8,5232.53,272,88,0.39,0.58,0.27,45,65.5,Medium,1
C000052,35-44,Male,West,New,In-Store,8,49.54,472.03,192,37,0.07,0.29,0.38,86,45.5,Low,0
C000053,55+,Male,North,New,Online,12,81.79,1147.18,253,91,0.36,0.54,0.79,19,37.5,High,1
C000054,25-34,Female,South,VIP,In-Store,60,77.16,4897.87,63,261,0.67,0.53,0.1,10,71.5,Low,0
C000055,25-34,Male,West,Returning,In-Store,1,48.64,53.12,197,7,0.8,0.52,0.67,46,42.5,Medium,1
C000056,18-24,Female,West,VIP,In-Store,2,97.92,183.7,173,11,0.22,0.62,0.54,81,54.0,Medium,0
C000057,45-54,Other,Central,VIP,Online,1,209.3,212.79,259,5,0.69,0.52,0.5,66,51.0,Medium,1
C000058,25-34,Male,East,New,Mobile App,5,318.17,1708.22,75,16,0.15,0.06,0.33,91,36.5,Low,0
C000059,55+,Other,North,Loyal,Online,5,186.24,1086.2,308,26,0.39,0.82,0.29,60,76.5,High,1
C000060,18-24,Female,Central,Returning,Online,5,339.99,1902.45,340,23,0.79,0.47,0.31,52,58.0,High,1
C000061,55+,Male,North,New,Mobile App,2,48.83,87.42,183,11,0.35,0.64,0.19,13,72.5,Medium,1
C000062,18-24,Female,South,New,Mobile App,5,273.67,1245.63,122,16,0.67,0.34,0.33,31,50.5,Low,0
C000063,25-34,Other,Central,New,Mobile App,1,65.84,66.58,346,7,0.15,0.33,0.31,35,51.0,High,1
C000064,18-24,Other,West,Loyal,In-Store,1,351.96,412.6,61,2,0.7,0.12,0.53,61,29.5,Low,0
C000065,25-34,Male,East,Loyal,In-Store,2,160.78,327.86,28,8,0.4,0.69,0.08,65,80.5,Low,0
C000066,25-34,Female,East,Loyal,Online,20,304.85,5247.48,274,93,0.45,0.26,0.27,37,49.5,Medium,1
C000067,18-24,Other,West,New,Online,1,142.39,131.57,126,2,0.72,0.55,0.59,76,48.0,Low,0
C000068,55+,Other,South,Loyal,Online,8,299.99,2508.42,236,22,0.26,0.36,0.57,68,39.5,High,1
C000069,35-44,Male,North,Loyal,In-Store,3,394.88,1258.11,289,6,0.22,0.36,0.44,84,46.0,High,1
C000070,25-34,Other,West,Loyal,Mobile App,35,22.01,917.7,94,105,0.55,0.84,0.5,17,67.0,Medium,0
C000071,55+,Other,North,Loyal,Mobile App,5,338.66,1560.85,118,31,0.2,0.68,0.47,10,60.5,Low,0
C000072,18-24,Female,South,New,Online,8,78.66,640.86,259,18,0.3,0.16,0.1,53,53.0,Medium,1
C000073,55+,Female,South,Loyal,Mobile App,2,280.14,493.47,319,12,0.62,0.56,0.43,44,56.5,High,1
C000074,25-34,Male,East,Loyal,Mobile App,20,386.71,6910.54,137,64,0.33,0.84,0.63,69,60.5,Low,0
C000075,45-54,Male,East,New,Mobile App,20,73.11,1649.86,270,135,0.67,0.21,0.24,87,48.5,Low,0
C000076,45-54,Male,East,New,In-Store,20,169.13,3841.99,295,125,0.72,0.58,0.48,72,55.0,High,1
C000077,25-34,Male,East,VIP,Mobile App,8,108.24,1008.67,309,59,0.52,0.15,0.8,16,17.5,High,1
C000078,45-54,Male,Central,New,Online,2,353.88,724.32,231,10,0.8,0.69,0.62,36,53.5,High,1
C000079,25-34,Male,Central,Loyal,Mobile App,12,32.74,412.31,10,59,0.62,0.14,0.48,56,33.0,Low,0
C000080,55+,Female,South,Returning,Online,1,107.12,118.13,130,2,0.5,0.53,0.62,36,45.5,Medium,0
C000081,35-44,Male,East,Loyal,Online,3,89.01,311.88,38,10,0.37,0.29,0.54,99,37.5,Low,0
C000082,25-34,Female,North,VIP,Mobile App,8,26.88,248.42,356,60,0.64,0.07,0.57,40,25.0,High,1
C000083,25-34,Male,South,Returning,In-Store,8,181.17,1605.54,296,56,0.73,0.15,0.24,99,45.5,High,1
C000084,18-24,Other,South,Loyal,In-Store,5,40.81,197.38,313,10,0.3,0.39,0.48,84,45.5,High,1
C000085,25-34,Male,East,New,In-Store,35,196.97,7020.06,347,164,0.22,0.43,0.16,33,63.5,High,1
C000086,18-24,Male,West,Returning,In-Store,1,138.36,155.4,150,3,0.21,0.49,0.83,58,33.0,Medium,1
C000087,35-44,Male,East,Returning,Online,8,347.04,2879.81,360,40,0.5,0.11,0.65,65,23.0,High,1
C000088,25-34,Female,West,Loyal,Online,2,33.89,68.81,19,4,0.63,0.44,0.47,47,48.5,Low,0
C000089,35-44,Other,East,VIP,Mobile App,20,59.13,1143.61,55,153,0.33,0.28,0.57,96,35.5,Low,0
C000090,55+,Male,East,New,In-Store,8,116.48,856.03,255,16,0.13,0.73,0.19,17,77.0,High,1
C000091,25-34,Female,Central,New,Online,1,112.41,123.97,120,6,0.77,0.85,0.16,23,84.5,Low,0
C000092,55+,Female,West,Loyal,In-Store,1,52.49,48.44,147,2,0.71,0.6,0.61,10,49.5,Medium,1
C000093,55+,Male,Central,VIP,Mobile App,20,149.89,2820.32,195,110,0.25,0.58,0.38,18,60.0,Medium,0
C000094,25-34,Male,East,VIP,Online,35,310.17,9759.93,202,188,0.79,0.45,0.2,90,62.5,Low,0
C000095,55+,Other,Central,Returning,In-Store,2,225.82,484.03,359,6,0.53,0.41,0.16,38,62.5,High,1
C000096,45-54,Other,North,Loyal,Mobile App,1,367.43,327.46,356,4,0.1,0.39,0.45,85,47.0,High,1
C000097,35-44,Other,North,Loyal,Mobile App,2,24.18,43.42,313,7,0.6,0.26,0.56,62,35.0,High,1
C000098,35-44,Female,West,VIP,Mobile App,8,37.85,275.0,363,24,0.12,0.71,0.1,20,80.5,High,1
C000099,35-44,Male,Central,Returning,In-Store,3,155.16,512.8,295,16,0.76,0.39,0.81,31,29.0,High,1
C000100,45-54,Other,South,Loyal,In-Store,1,119.66,126.63,337,4,0.5,0.33,0.67,82,33.0,High,1
C000101,55+,Female,North,Loyal,Online,1,296.71,303.66,104,4,0.23,0.75,0.69,53,53.0,Medium,0
C000102,45-54,Other,Central,Loyal,In-Store,20,385.6,8687.6,57,93,0.19,0.51,0.75,17,38.0,Low,0
C000103,45-54,Other,West,Returning,Mobile App,8,308.43,2722.66,198,63,0.73,0.6,0.6,35,50.0,High,1
C000104,45-54,Other,South,New,In-Store,1,285.02,271.93,176,2,0.37,0.73,0.65,48,54.0,Medium,1
C000105,55+,Female,Central,New,Online,5,218.53,1175.24,14,27,0.22,0.15,0.11,46,52.0,Low,0
C000106,35-44,Male,South,Returning,Online,5,237.52,1343.64,4,33,0.29,0.58,0.76,51,41.0,Low,0
C000107,18-24,Female,South,New,In-Store,20,178.65,3614.73,34,42,0.71,0.5,0.8,48,35.0,Medium,0
C000108,45-54,Male,Central,VIP,In-Store,3,171.35,453.44,359,15,0.6,0.05,0.42,39,31.5,High,1
C000109,45-54,Male,South,New,Online,20,291.91,6166.24,193,149,0.08,0.14,0.36,77,39.0,Medium,0
C000110,45-54,Male,South,VIP,Online,35,197.61,7363.8,153,226,0.1,0.39,0.72,63,33.5,Medium,0
C000111,55+,Male,South,VIP,Online,8,214.82,1599.52,226,34,0.08,0.86,0.71,14,57.5,High,1
C000112,45-54,Other,Central,Loyal,In-Store,12,78.48,1069.41,269,40,0.45,0.55,0.51,20,52.0,High,1
C000113,55+,Female,Central,VIP,Online,20,120.93,2165.45,137,45,0.69,0.08,0.31,34,38.5,Low,0
C000114,45-54,Female,West,Returning,Mobile App,5,161.62,760.35,176,24,0.11,0.24,0.6,78,32.0,Medium,0
C000115,35-44,Female,Central,Returning,In-Store,60,43.38,3016.69,318,333,0.67,0.35,0.59,86,38.0,High,1
C000116,45-54,Other,North,Loyal,Online,20,270.21,6202.42,59,59,0.3,0.25,0.79,72,23.0,Low,0
C000117,35-44,Female,East,New,Online,12,91.9,1277.67,45,86,0.07,0.75,0.15,62,80.0,Low,0
C000118,25-34,Female,South,Returning,Mobile App,20,336.21,6909.88,295,63,0.11,0.33,0.5,69,41.5,High,1
C000119,25-34,Female,North,VIP,In-Store,1,331.1,296.32,74,4,0.68,0.38,0.19,46,59.5,Low,0
C000120,55+,Female,West,New,Online,3,289.11,757.68,193,7,0.11,0.77,0.84,56,46.5,High,1
C000121,45-54,Other,West,New,Mobile App,60,304.87,16381.22,7,143,0.67,0.37,0.71,84,33.0,Low,0
C000122,45-54,Male,West,Loyal,In-Store,3,398.91,1195.73,39,15,0.67,0.3,0.72,56,29.0,Low,0
C000123,45-54,Other,West,Returning,In-Store,12,268.71,3049.24,337,93,0.07,0.67,0.78,68,44.5,High,1
C000124,25-34,Female,East,VIP,Online,3,295.28,984.21,163,6,0.54,0.36,0.74,89,31.0,Medium,0
C000125,45-54,Other,East,VIP,Mobile App,8,80.51,593.39,93,53,0.63,0.77,0.66,12,55.5,Medium,0
C000126,25-34,Male,West,New,In-Store,35,387.65,12413.28,15,171,0.14,0.16,0.6,18,28.0,Low,0
C000127,55+,Other,Central,New,Online,2,206.81,360.87,117,11,0.37,0.89,0.17,30,86.0,Low,0
C000128,45-54,Female,South,Returning,Online,5,248.01,1180.63,301,32,0.76,0.82,0.63,60,59.5,High,1
C000129,35-44,Female,West,Returning,In-Store,1,111.98,133.85,160,2,0.41,0.23,0.33,49,45.0,Low,0
C000130,35-44,Female,East,Loyal,In-Store,3,32.62,85.87,103,8,0.48,0.64,0.69,53,47.5,Medium,0
C000131,35-44,Female,North,New,Mobile App,1,261.84,287.31,9,7,0.09,0.51,0.62,17,44.5,Low,0
C000132,55+,Female,North,Returning,Mobile App,20,252.66,5151.94,84,106,0.5,0.72,0.43,50,64.5,Low,0
C000133,18-24,Male,North,Returning,Online,2,186.67,412.05,12,6,0.17,0.79,0.23,64,78.0,Low,0
C000134,18-24,Male,Central,Returning,Online,20,184.79,3197.91,300,106,0.59,0.24,0.85,68,19.5,High,1
C000135,45-54,Other,North,Returning,In-Store,12,95.83,1251.25,93,54,0.2,0.76,0.19,94,78.5,Low,0
C000136,35-44,Male,East,New,Online,5,151.46,742.05,20,25,0.46,0.49,0.52,75,48.5,Low,0
C000137,35-44,Other,North,New,In-Store,8,321.32,2774.29,243,44,0.73,0.23,0.55,49,34.0,High,1
C000138,55+,Female,West,Returning,Online,20,174.02,3691.48,298,68,0.78,0.2,0.73,50,23.5,High,1
C000139,55+,Male,South,Loyal,Mobile App,2,350.88,705.87,231,8,0.49,0.19,0.36,37,41.5,High,1
C000140,55+,Other,North,New,In-Store,3,313.92,843.63,301,10,0.23,0.8,0.4,89,70.0,Medium,1
C000141,55+,Other,West,Loyal,Online,8,148.06,1350.44,257,37,0.49,0.86,0.25,93,80.5,Medium,1
C000142,55+,Male,East,VIP,In-Store,3,222.73,750.8,120,20,0.49,0.79,0.21,70,79.0,Low,0
C000143,18-24,Female,West,VIP,Mobile App,1,394.94,352.7,293,7,0.08,0.15,0.41,68,37.0,High,1
C000144,25-34,Male,West,Loyal,Mobile App,1,76.37,91.29,216,6,0.06,0.32,0.83,48,24.5,High,1
C000145,55+,Female,West,VIP,Mobile App,5,215.93,1102.43,294,14,0.07,0.31,0.61,17,35.0,High,1
C000146,55+,Female,East,Returning,Online,20,87.32,1907.8,311,157,0.33,0.06,0.25,35,40.5,High,1
C000147,35-44,Male,West,VIP,Mobile App,20,236.83,4076.49,328,135,0.74,0.56,0.8,23,38.0,High,1
C000148,55+,Female,West,New,In-Store,1,269.98,323.92,63,7,0.36,0.79,0.68,86,55.5,Low,0
C000149,35-44,Female,South,Returning,In-Store,3,61.46,198.7,102,11,0.55,0.74,0.66,32,54.0,Medium,1
C000150,35-44,Female,East,Loyal,Mobile App,1,226.91,193.33,143,5,0.51,0.53,0.35,98,59.0,Low,0
C000151,18-24,Male,Central,New,Online,8,227.36,1828.97,102,19,0.5,0.62,0.55,55,53.5,Medium,1
C000152,45-54,Other,West,Returning,Mobile App,60,341.92,24002.43,221,242,0.34,0.39,0.51,53,44.0,Medium,1
C000153,45-54,Female,West,New,Online,5,169.86,885.22,302,31,0.77,0.07,0.21,89,43.0,Medium,1
C000154,35-44,Female,South,Returning,In-Store,2,372.27,648.56,277,9,0.2,0.19,0.54,61,32.5,High,1
C000155,55+,Female,East,Loyal,In-Store,12,373.25,4641.55,136,46,0.51,0.66,0.27,13,69.5,Medium,0
C000156,55+,Female,East,VIP,In-Store,1,346.58,391.61,159,6,0.13,0.53,0.26,45,63.5,Medium,0
C000157,35-44,Male,East,New,Mobile App,5,53.07,301.31,172,11,0.52,0.86,0.53,30,66.5,Medium,1
C000158,25-34,Male,East,Returning,Online,2,252.17,501.24,125,14,0.63,0.52,0.25,77,63.5,Low,0
C000159,25-34,Female,West,Loyal,Online,3,332.59,996.08,202,20,0.62,0.18,0.39,78,39.5,Medium,0
C000160,25-34,Male,East,Loyal,Online,20,102.36,1808.7,293,117,0.51,0.51,0.24,87,63.5,Medium,0
C000161,35-44,Other,North,Returning,In-Store,8,42.21,303.78,320,22,0.57,0.39,0.39,48,50.0,High,1
C000162,18-24,Other,North,Loyal,Mobile App,8,148.15,1383.05,109,19,0.11,0.81,0.2,17,80.5,Low,0
C000163,25-34,Male,West,New,Mobile App,3,150.55,481.46,269,15,0.1,0.73,0.24,30,74.5,High,1
C000164,35-44,Female,West,VIP,In-Store,12,107.72,1305.44,342,72,0.8,0.61,0.5,96,55.5,High,1
C000165,25-34,Female,North,VIP,Online,5,42.85,224.28,36,38,0.53,0.69,0.19,71,75.0,Low,0
C000166,18-24,Female,West,New,Mobile App,1,134.32,160.3,3,7,0.23,0.39,0.17,14,61.0,Low,0
C000167,18-24,Male,South,Loyal,Online,12,312.07,3502.47,286,61,0.52,0.13,0.65,42,24.0,High,1
C000168,25-34,Other,North,VIP,Mobile App,2,43.98,78.39,151,7,0.32,0.12,0.8,82,16.0,Medium,1
C000169,55+,Male,Central,VIP,In-Store,8,333.61,2529.82,154,44,0.44,0.83,0.45,95,69.0,Low,0
C000170,45-54,Other,East,VIP,In-Store,8,170.93,1420.64,291,48,0.45,0.66,0.16,16,75.0,High,1
C000171,55+,Male,Central,New,Online,3,50.75,150.89,66,8,0.22,0.86,0.51,19,67.5,Low,0
C000172,25-34,Other,East,New,Online,20,370.65,7564.76,110,147,0.67,0.32,0.81,15,25.5,Medium,1
C000173,25-34,Other,South,New,Online,1,159.66,139.52,25,3,0.11,0.71,0.15,22,78.0,Low,0
C000174,18-24,Female,West,VIP,In-Store,1,26.72,28.35,151,2,0.1,0.71,0.42,11,64.5,Medium,0
C000175,18-24,Female,South,Loyal,Mobile App,5,306.62,1635.55,83,15,0.11,0.72,0.26,16,73.0,Low,0
C000176,45-54,Other,North,Returning,In-Store,8,398.74,3620.21,359,26,0.18,0.61,0.73,59,44.0,High,1
C000177,55+,Female,South,New,Mobile App,1,356.91,359.56,7,5,0.41,0.2,0.36,14,42.0,Low,0
C000178,25-34,Female,South,Returning,Online,5,27.29,128.39,138,30,0.19,0.58,0.31,99,63.5,Low,0
C000179,18-24,Female,South,Loyal,In-Store,2,390.83,883.7,173,4,0.33,0.28,0.57,30,35.5,Medium,1
C000180,18-24,Other,West,Loyal,Mobile App,3,300.2,915.56,233,17,0.69,0.38,0.81,73,28.5,High,1
C000181,45-54,Other,East,VIP,In-Store,20,139.85,3051.1,60,49,0.26,0.84,0.25,30,79.5,Low,0
C000182,18-24,Male,Central,VIP,Mobile App,5,191.05,887.85,343,25,0.16,0.68,0.46,17,61.0,High,1
C000183,35-44,Female,Central,New,Online,1,52.22,57.48,109,6,0.13,0.08,0.46,67,31.0,Low,0
C000184,25-34,Other,Central,New,Mobile App,60,378.08,25505.54,51,182,0.12,0.61,0.66,73,47.5,Low,0
C000185,35-44,Male,Central,Returning,In-Store,5,51.39,264.69,337,18,0.63,0.58,0.36,59,61.0,High,1
C000186,55+,Female,West,Returning,Mobile App,60,201.74,14083.89,266,407,0.27,0.88,0.53,62,67.5,Medium,1
C000187,45-54,Male,West,VIP,In-Store,35,217.89,8127.76,226,96,0.3,0.84,0.23,34,80.5,Medium,1
C000188,45-54,Female,East,New,Online,5,82.2,388.73,213,30,0.42,0.06,0.84,41,11.0,High,1
C000189,35-44,Other,West,VIP,In-Store,3,354.12,999.1,18,17,0.22,0.88,0.65,16,61.5,Low,0
C000190,45-54,Male,Central,VIP,Online,2,225.03,497.22,258,5,0.59,0.75,0.22,32,76.5,Medium,1
C000191,35-44,Female,East,New,In-Store,20,298.46,6206.67,189,129,0.51,0.14,0.17,39,48.5,Medium,0
C000192,55+,Other,North,VIP,In-Store,20,80.83,1635.26,144,137,0.61,0.8,0.27,73,76.5,Low,0
C000193,18-24,Other,South,Loyal,Mobile App,20,97.53,2036.97,302,113,0.19,0.35,0.68,45,33.5,High,1
C000194,45-54,Male,West,Returning,In-Store,1,136.13,157.48,101,2,0.34,0.6,0.67,35,46.5,Low,0
C000195,55+,Female,South,VIP,Mobile App,5,176.8,966.62,202,28,0.32,0.73,0.12,80,80.5,Medium,0
C000196,45-54,Male,North,Returning,Mobile App,1,240.39,251.57,254,4,0.5,0.56,0.07,28,74.5,Medium,1
C000197,25-34,Other,East,New,Mobile App,8,49.28,343.18,109,51,0.79,0.23,0.71,28,26.0,Medium,0
C000198,45-54,Male,North,New,In-Store,3,184.93,488.78,116,7,0.65,0.7,0.64,54,53.0,Medium,0
C000199,18-24,Female,South,Loyal,Mobile App,2,262.27,536.95,47,5,0.36,0.76,0.36,18,70.0,Low,0
C000200,35-44,Female,West,VIP,Online,2,286.1,603.69,118,7,0.44,0.3,0.8,51,25.0,Medium,0
C000201,45-54,Male,Central,VIP,Online,20,105.71,2075.98,320,62,0.65,0.44,0.44,79,50.0,High,1
C000202,55+,Other,Central,Returning,Online,35,365.57,14369.68,100,230,0.17,0.57,0.16,40,70.5,Low,0
C000203,35-44,Female,West,Loyal,Online,35,199.38,5964.29,364,79,0.08,0.28,0.27,23,50.5,High,1
C000204,35-44,Other,East,VIP,Online,12,190.9,2569.93,44,35,0.69,0.09,0.55,66,27.0,Low,0
C000205,45-54,Female,Central,Loyal,In-Store,3,139.77,469.69,70,22,0.07,0.61,0.82,24,39.5,Medium,0
C000206,55+,Female,Central,VIP,In-Store,20,319.33,6824.39,165,157,0.24,0.61,0.21,97,70.0,Low,0
C000207,25-34,Other,South,VIP,Online,3,137.31,486.68,161,8,0.22,0.26,0.73,42,26.5,Medium,1
C000208,45-54,Female,North,VIP,Mobile App,20,294.67,5148.97,86,105,0.51,0.24,0.73,83,25.5,Low,0
C000209,45-54,Other,West,Returning,In-Store,2,379.37,870.65,66,5,0.7,0.44,0.65,85,39.5,Low,0
C000210,18-24,Other,South,Loyal,Online,20,194.51,3377.41,319,99,0.3,0.79,0.49,77,65.0,High,1
C000211,45-54,Other,North,VIP,Online,12,217.37,2404.22,213,71,0.17,0.27,0.81,49,23.0,High,1
C000212,25-34,Other,West,Returning,Online,8,209.17,1484.13,279,55,0.34,0.71,0.82,21,44.5,High,1
C000213,45-54,Female,East,VIP,Mobile App,8,129.11,1164.57,164,29,0.28,0.6,0.21,91,69.5,Low,0
C000214,18-24,Other,East,VIP,In-Store,20,140.37,3228.55,259,147,0.18,0.48,0.53,17,47.5,High,1
C000215,45-54,Male,Central,New,Online,35,268.63,8492.27,260,237,0.78,0.78,0.14,20,82.0,High,1
C000216,35-44,Other,South,New,In-Store,5,393.96,2134.81,269,19,0.8,0.88,0.57,36,65.5,High,1
C000217,18-24,Female,North,Returning,Mobile App,12,55.35,571.4,154,29,0.6,0.21,0.74,59,23.5,Medium,1
C000218,35-44,Male,North,Loyal,Online,60,362.49,23447.68,213,211,0.66,0.8,0.47,30,66.5,Medium,1
C000219,35-44,Female,East,VIP,Online,1,53.13,58.53,163,2,0.31,0.43,0.65,66,39.0,Medium,1
C000220,25-34,Female,Central,Returning,Online,12,326.35,4485.26,347,69,0.14,0.62,0.31,49,65.5,High,1
C000221,25-34,Other,North,VIP,Mobile App,1,279.03,253.5,148,3,0.68,0.29,0.56,13,36.5,Medium,1
C000222,25-34,Other,West,Returning,Online,3,46.03,154.26,302,19,0.73,0.25,0.7,86,27.5,High,1
C000223,45-54,Female,East,Loyal,Mobile App,35,267.29,10814.36,219,187,0.13,0.43,0.42,81,50.5,Medium,0
C000224,18-24,Female,West,Returning,Online,20,202.05,3460.31,344,43,0.77,0.16,0.62,60,27.0,High,1
C000225,45-54,Other,East,Loyal,Mobile App,20,285.74,6536.65,173,155,0.6,0.31,0.71,28,30.0,High,1
C000226,45-54,Female,East,Loyal,Online,1,111.92,95.62,308,3,0.5,0.3,0.29,50,50.5,High,1
C000227,45-54,Male,West,Returning,In-Store,1,363.1,416.94,361,3,0.31,0.89,0.55,25,67.0,High,1
C000228,55+,Other,East,Loyal,Mobile App,1,241.47,289.38,50,5,0.54,0.26,0.23,53,51.5,Low,0
C000229,35-44,Other,North,VIP,In-Store,1,55.67,65.04,324,7,0.1,0.86,0.07,96,89.5,Medium,0
C000230,18-24,Other,Central,New,Mobile App,5,314.07,1665.63,26,14,0.18,0.86,0.41,38,72.5,Low,0
C000231,45-54,Male,East,Loyal,Online,8,277.04,1986.03,260,34,0.42,0.6,0.81,43,39.5,High,1
C000232,25-34,Female,Central,Returning,Mobile App,2,174.65,405.89,210,8,0.4,0.09,0.16,74,46.5,Low,0
C000233,18-24,Female,North,VIP,Online,5,199.73,1066.44,142,28,0.26,0.23,0.46,58,38.5,Medium,0
C000234,55+,Other,East,Returning,Online,8,214.81,1637.23,233,35,0.12,0.57,0.14,60,71.5,Medium,0
